"cidade","descricao","nascer_do_sol","por_do_sol","precipitacao","quando","temperatura-max","temperatura-min","umidade-max","umidade-min","vento"
"portovelho-ro","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","07:30h","19:13h","0mm - 0%","HOJE","34°","21°","74%","36%","SE - 6km/h"
"teresina-pi","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","06:01h","17:54h","0mm - 0%","HOJE","34°","19°","49%","27%","ESE - 16km/h"
"macapa-ap","Hoje será parecido com ontem. Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite.","06:27h","18:34h","8mm - 80%","HOJE","33°","24°","88%","52%","ENE - 9km/h"
"riobranco-ac","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","07:48h","19:27h","0mm - 0%","HOJE","31°","17°","75%","36%","SSE - 7km/h"
"boavista-rr","Hoje será mais frio que ontem. Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","07:02h","19:16h","15mm - 90%","HOJE","30°","22°","83%","47%","ESE - 4km/h"
"joaopessoa-pb","Hoje será parecido com ontem. Sol com algumas nuvens. Chove rápido durante o dia e à noite.","05:32h","17:19h","5mm - 60%","HOJE","29°","22°","73%","56%","ESE - 21km/h"
"palmas-to","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","06:30h","18:09h","0mm - 0%","HOJE","36°","18°","51%","23%","ENE - 19km/h"
"manaus-am","Hoje será parecido com ontem. Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite.","07:07h","19:05h","7mm - 90%","HOJE","33°","23°","72%","34%","E - 6km/h"
"belem-pa","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","06:18h","18:21h","10mm - 0%","HOJE","34°","24°","94%","38%","E - 11km/h"
"saoluis-ma","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","06:03h","18:03h","0mm - 0%","HOJE","32°","23°","92%","46%","NE - 13km/h"
"fortaleza-ce","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","05:42h","17:39h","0mm - 0%","HOJE","30°","22°","73%","67%","ESE - 38km/h"
"aracaju-se","Hoje será parecido com ontem. Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","05:46h","17:23h","10mm - 80%","HOJE","28°","22°","81%","55%","E - 19km/h"
"natal-rn","Hoje será parecido com ontem. Sol com algumas nuvens. Chove rápido durante o dia e à noite.","05:31h","17:22h","5mm - 60%","HOJE","30°","22°","67%","48%","ESE - 21km/h"
"recife-pe","Hoje será parecido com ontem. Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","05:33h","17:18h","4mm - 80%","HOJE","28°","22°","63%","47%","ESE - 18km/h"
"salvador-ba","Hoje será parecido com ontem. Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","05:55h","17:26h","15mm - 80%","HOJE","27°","22°","72%","67%","E - 31km/h"
"campogrande-ms","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","07:10h","18:19h","0mm - 0%","HOJE","30°","19°","52%","18%","NNE - 16km/h"
"goiania-go","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","06:43h","18:03h","0mm - 0%","HOJE","31°","13°","64%","32%","NE - 18km/h"
"maceio-al","Hoje será parecido com ontem. Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","05:39h","17:19h","4mm - 80%","HOJE","28°","19°","67%","61%","E - 32km/h"
"saopaulo-sp","Hoje será mais quente que ontem. Sol com algumas nuvens. Não chove.","06:43h","17:42h","0mm - 0%","HOJE","26°","14°","85%","32%","NNE - 12km/h"
"vitoria-es","Hoje será parecido com ontem. Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite.","06:13h","17:22h","5mm - 90%","HOJE","27°","20°","76%","66%","NE - 15km/h"
"cuiaba-mt","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","07:09h","18:32h","0mm - 0%","HOJE","34°","18°","55%","14%","NNE - 11km/h"
"brasilia-df","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","06:36h","17:59h","0mm - 0%","HOJE","27°","12°","86%","32%","ENE - 19km/h"
"belohorizonte-mg","Hoje será parecido com ontem. Dia de sol com algumas nuvens e névoa ao amanhecer. Noite com poucas nuvens.","06:27h","17:37h","0mm - 0%","HOJE","25°","15°","87%","44%","NE - 16km/h"
"riodejaneiro-rj","Hoje será parecido com ontem. Sol com algumas nuvens. Não chove.","06:28h","17:29h","0mm - 0%","HOJE","30°","16°","84%","42%","NE - 7km/h"
"portoalegre-rs","Hoje será parecido com ontem. Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","07:13h","17:49h","20mm - 90%","HOJE","19°","11°","74%","44%","W - 8km/h"
"curitiba-pr","Hoje será mais quente que ontem. Sol com algumas nuvens. Não chove.","06:57h","17:49h","0mm - 0%","HOJE","22°","11°","92%","40%","N - 12km/h"
"florianopolis-sc","Hoje será mais quente que ontem. Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite.","06:57h","17:43h","10mm - 80%","HOJE","24°","17°","91%","71%","NNW - 24km/h"
"portovelho-ro","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","07:30h","19:13h","0mm - 0%","AMANHA","35°","22°","74%","33%","ESE - 4km/h"
"manaus-am","Amanhã será parecido com hoje. Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite.","07:07h","19:05h","8mm - 90%","AMANHA","35°","24°","69%","36%","E - 7km/h"
"riobranco-ac","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","07:47h","19:27h","0mm - 0%","AMANHA","32°","20°","71%","34%","NE - 3km/h"
"palmas-to","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","06:30h","18:09h","0mm - 0%","AMANHA","35°","21°","50%","22%","ENE - 20km/h"
"boavista-rr","Amanhã será parecido com hoje.  Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","07:02h","19:16h","10mm - 67%","AMANHA","31°","23°","85%","49%","SE - 5km/h"
"macapa-ap","Amanhã será parecido com hoje. Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite.","06:27h","18:34h","6mm - 90%","AMANHA","33°","24°","84%","44%","ENE - 11km/h"
"belem-pa","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","06:18h","18:21h","0mm - 0%","AMANHA","34°","24°","93%","43%","ENE - 13km/h"
"joaopessoa-pb","Amanhã será parecido com hoje. Sol, com chuva de manhã e diminuição de nuvens à tarde. Noite com pouca nebulosidade.","05:32h","17:19h","8mm - 90%","AMANHA","29°","22°","81%","54%","ESE - 17km/h"
"teresina-pi","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","06:01h","17:54h","0mm - 0%","AMANHA","35°","20°","67%","27%","E - 15km/h"
"fortaleza-ce","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","05:42h","17:39h","0mm - 0%","AMANHA","30°","23°","75%","69%","ESE - 36km/h"
"saoluis-ma","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","06:03h","18:03h","0mm - 0%","AMANHA","33°","23°","72%","42%","ENE - 20km/h"
"aracaju-se","Amanhã será parecido com hoje. Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","05:46h","17:23h","5mm - 80%","AMANHA","28°","23°","76%","54%","ESE - 19km/h"
"natal-rn","Amanhã será parecido com hoje. Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite.","05:31h","17:22h","5mm - 60%","AMANHA","30°","22°","68%","48%","SE - 21km/h"
"recife-pe","Amanhã será parecido com hoje. Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite.","05:33h","17:18h","5mm - 90%","AMANHA","28°","22°","62%","46%","ESE - 16km/h"
"salvador-ba","Amanhã será parecido com hoje. Sol, com chuva de manhã e diminuição de nuvens à tarde. Noite com pouca nebulosidade.","05:54h","17:26h","5mm - 60%","AMANHA","29°","22°","69%","65%","E - 31km/h"
"maceio-al","Amanhã será parecido com hoje. Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","05:39h","17:19h","5mm - 80%","AMANHA","27°","20°","69%","66%","E - 32km/h"
"goiania-go","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","06:43h","18:03h","0mm - 0%","AMANHA","30°","16°","55%","22%","ENE - 16km/h"
"saopaulo-sp","Amanhã será parecido com hoje. Sol com algumas nuvens durante o dia. À noite o céu fica com muitas nuvens, mas não chove.","06:43h","17:42h","0mm - 0%","AMANHA","28°","15°","58%","29%","NW - 15km/h"
"campogrande-ms","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","07:10h","18:19h","0mm - 0%","AMANHA","31°","18°","47%","18%","NNW - 11km/h"
"vitoria-es","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","06:12h","17:22h","0mm - 0%","AMANHA","28°","18°","76%","68%","NNE - 22km/h"
"cuiaba-mt","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","07:08h","18:32h","0mm - 0%","AMANHA","35°","15°","44%","15%","N - 11km/h"
"riodejaneiro-rj","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","06:28h","17:30h","0mm - 0%","AMANHA","33°","16°","55%","26%","N - 14km/h"
"brasilia-df","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","06:36h","17:59h","0mm - 0%","AMANHA","27°","13°","82%","31%","NE - 15km/h"
"belohorizonte-mg","Amanhã será parecido com hoje. Sol com algumas nuvens. Não chove.","06:26h","17:37h","0mm - 0%","AMANHA","26°","14°","74%","33%","NNE - 13km/h"
"portoalegre-rs","Amanhã será mais frio que hoje. Chuvoso durante o dia e à noite.","07:12h","17:50h","15mm - 90%","AMANHA","15°","7°","79%","53%","SSE - 11km/h"
"curitiba-pr","Amanhã será mais quente que hoje. Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite.","06:56h","17:50h","7mm - 90%","AMANHA","26°","12°","69%","31%","NW - 15km/h"
"florianopolis-sc","Amanhã será parecido com hoje. Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora.","06:57h","17:43h","20mm - 90%","AMANHA","21°","14°","93%","74%","WSW - 27km/h"
